//X	Y	Z	Deviation[]	Amplitude[dB]	Reflectance[dB]
-5.868000031	18.940999985	-1.251000047	1.0000000000	22.2000007629	-8.3299999237
-5.863249779	18.940750122	-1.256000042	2.0000000000	19.1499996185	-4.5999999046
-5.856500149	18.940500259	-1.254750013	1.0000000000	23.6599998474	-6.8699998856
-5.860249996	18.937749863	-1.249500036	1.0000000000	21.8899993896	-4.1799998283
-5.859499931	18.938999176	-1.250499964	2.0000000000	21.9599990845	-4.8099999428
-5.854249954	18.939750671	-1.276499987	1.0000000000	23.5200004578	-7.0100002289
-5.852749825	18.938749313	-1.277750015	1.0000000000	21.8799991608	-4.1900000572
-5.852000237	18.940000534	-1.279500008	1.0000000000	22.1800003052	-4.5900001526
-5.853499889	18.939500809	-1.272500038	1.0000000000	23.2399997711	-7.2899999619
-5.852250099	18.940000534	-1.272250056	2.0000000000	22.2500000000	-4.5199999809
-5.843500137	18.937999725	-1.278749943	2.0000000000	22.7700004578	-7.7699999809
-5.844999790	18.940250397	-1.276749969	3.0000000000	21.0200004578	-5.7500000000
-5.845499992	18.938999176	-1.276000023	2.0000000000	23.0200004578	-7.5199999809
-5.843999863	18.936750412	-1.273000002	2.0000000000	20.7000007629	-5.3699998856
-5.844749928	18.940500259	-1.274250031	4.0000000000	17.0200004578	-6.7199997902
-5.852499962	18.938249588	-1.269500017	2.0000000000	21.5200004578	-4.5500001907
-5.852000237	18.938499451	-1.269500017	1.0000000000	23.6499996185	-6.8800001144
-5.854000092	18.939500809	-1.265750051	0.0000000000	24.0599994659	-6.4699997902
-5.853000164	18.941749573	-1.265499949	2.0000000000	22.1299991608	-4.6399998665
-5.844999790	18.938749313	-1.271749973	2.0000000000	22.6499996185	-7.8899998665
-5.845499992	18.939750671	-1.269999981	3.0000000000	21.8500003815	-4.9200000763
-5.845499992	18.938999176	-1.268499970	4.0000000000	23.5599994659	-6.9800000191
-5.845749855	18.938749313	-1.264500022	1.0000000000	23.5400009155	-7.0000000000
-5.842999935	18.937999725	-1.265249968	0.0000000000	20.8600006104	-5.2100000381
-5.836249828	18.931749344	-1.279500008	0.0000000000	8.1700000763	-12.5299997330
